Fecha,Eryngium f-Capiscum a (V),Eryngium f-Capiscum a (mA),Aglaonema (V),Aglaonema (mA),Kalanchoe (V),Kalanchoe (mA),Alocassia O (V),Alocassia O (mA),Alocassia O2 (V),Alocassia O2 (mA),Eryngium foetidum (V),Eryngium foetidum (mA)
06/16/2022,1.01,0.79,0.93,0.78,1.05,0.1,1,0.1,0.97,0.11,1.33,0.6
06/30/2022,0.6,0.5,0.86,0.3,0.8,0.16,0.8,0.19,0.8,0.15,0.9,0.3
07/01/2022,1,0.63,0.9,0.51,0.9,0.23,0.9,0.35,0.9,0.41,1,0.2
07/06/2022,1,0.58,1.01,0.4,1.04,0.52,1.04,0.52,1,0.36,1.3,0.6
07/07/2022,1.28,0.59,0.88,0.57,0.98,0.37,0.98,0.37,0.9,0.38,0.92,0.51
07/08/2022,0.9,1.03,0.94,1.2,0.87,0.6,0.94,0.46,0.9,0.6,1,0.6
07/09/2022,0.97,0.62,1.02,0.72,0.99,0.5,0.96,0.5,0.92,0.45,0.97,0.62
07/12/2022,1.12,0.79,0.89,0.72,0.94,0.5,0.9,0.26,0.97,0.2,0.89,0.46
07/14/2022,1.04,0.32,1.02,0.54,1.04,0.45,1.07,0.12,1.08,0.33,1.04,0.32
07/19/2022,1.34,0.7,1.1,0.4,1.05,0.23,0.95,0.1,1,0.14,1.03,0.34
